"","target_child_id","corpus_name","target_child_age","form","pos","stem","target_child_sex","utterance_id"
"1",1741,"Clark",36.1650136553112,"bite","v","bite","male",388185
"2",1741,"Clark",36.1650136553112,"bites","v","bite","male",388099
"3",1741,"Clark",37.4278732622846,"buy","v","buy","male",379689
"4",1741,"Clark",37.4278732622846,"buy","v","buy","male",379790
"5",1741,"Clark",37.4278732622846,"buy","v","buy","male",387557
"6",1741,"Clark",37.4278732622846,"buy","v","buy","male",387598
"7",1741,"Clark",37.1650341896137,"buy","v","buy","male",380448
"8",1741,"Clark",36.6578369165691,"buy","v","buy","male",392428
"9",1741,"Clark",38.0664900716647,"buy","v","buy","male",396539
"10",1741,"Clark",36.4278527279821,"cover","v","cover","male",380193
"11",1741,"Clark",38.0664900716647,"cover","v","cover","male",388098
"12",1741,"Clark",37.8878416394587,"cover","v","cover","male",400529
"13",1741,"Clark",37.8878416394587,"cover","v","cover","male",400732
"14",1741,"Clark",37.8878416394587,"cover","v","cover","male",400821
"15",1741,"Clark",37.8878416394587,"cover","v","cover","male",401407
"16",1741,"Clark",38.0664900716647,"hold","v","hold","male",385810
"17",1741,"Clark",38.0664900716647,"hold","v","hold","male",390575
"18",1741,"Clark",36.1650136553112,"hold","v","hold","male",391737
"19",1741,"Clark",36.1650136553112,"holding","part","hold","male",392874
"20",1741,"Clark",36.4278527279821,"invite","v","invite","male",379062
"21",1741,"Clark",36.4278527279821,"invite","v","invite","male",380368
"22",1741,"Clark",38.0664900716647,"lick","v","lick","male",387067
"23",1741,"Clark",37.1650341896137,"pet","v","pet","male",380367
"24",1741,"Clark",37.4278732622846,"pull","v","pull","male",376594
"25",1741,"Clark",36.1650136553112,"pull","v","pull","male",377380
"26",1741,"Clark",36.4278527279821,"pull","v","pull","male",376893
"27",1741,"Clark",36.4278527279821,"pull","v","pull","male",376998
"28",1741,"Clark",36.4278527279821,"pull","v","pull","male",383258
"29",1741,"Clark",36.1650136553112,"pull","v","pull","male",385913
"30",1741,"Clark",37.1650341896137,"pull","v","pull","male",391793
"31",1741,"Clark",37.1650341896137,"pull","v","pull","male",391901
"32",1741,"Clark",36.4278527279821,"pull","v","pull","male",391878
"33",1741,"Clark",36.4278527279821,"pull","v","pull","male",391878
"34",1741,"Clark",36.6578369165691,"pull","v","pull","male",392226
"35",1741,"Clark",36.6578369165691,"pull","v","pull","male",392265
"36",1741,"Clark",36.6578369165691,"pull","v","pull","male",392277
"37",1741,"Clark",36.6578369165691,"pull","v","pull","male",392277
"38",1741,"Clark",36.6578369165691,"pull","v","pull","male",392320
"39",1741,"Clark",36.6578369165691,"pull","v","pull","male",392495
"40",1741,"Clark",36.6578369165691,"pull","v","pull","male",392540
"41",1741,"Clark",36.6578369165691,"pull","v","pull","male",392574
"42",1741,"Clark",36.6578369165691,"pull","v","pull","male",392587
"43",1741,"Clark",36.6578369165691,"pull","v","pull","male",392923
"44",1741,"Clark",36.6578369165691,"pulling","part","pull","male",392550
"45",1741,"Clark",37.4278732622846,"push","v","push","male",387976
"46",1741,"Clark",37.4278732622846,"push","v","push","male",389784
"47",1741,"Clark",36.1650136553112,"push","v","push","male",381914
"48",1741,"Clark",36.4278527279821,"push","v","push","male",386192
"49",1741,"Clark",36.4278527279821,"push","v","push","male",386218
"50",1741,"Clark",36.4278527279821,"push","v","push","male",391797
"51",1741,"Clark",36.6578369165691,"tie","v","tie","male",391331
"52",1741,"Clark",37.1650341896137,"tie","v","tie","male",391937
"53",1741,"Clark",37.1650341896137,"tie","v","tie","male",392029
"54",1741,"Clark",37.1650341896137,"tie","v","tie","male",392856
"55",1741,"Clark",38.0664900716647,"tie","v","tie","male",396944
"56",1741,"Clark",36.6578369165691,"tie","v","tie","male",393020
"57",1741,"Clark",36.6578369165691,"tied","v","tie","male",391538
"58",1741,"Clark",38.0664900716647,"tied","part","tie","male",396936
"59",2479,"VanKleeck",45.0009240436149,"punched","v","punch","female",783701
"60",2479,"VanKleeck",45.0009240436149,"teach","v","teach","female",783563
"61",2483,"VanKleeck",44.0009035093123,"hold","v","hold","male",788610
"62",2483,"VanKleeck",44.0009035093123,"tickles","v","tickle","male",788425
"63",2485,"VanKleeck",45.0009240436149,"buy","v","buy","male",787649
"64",2485,"VanKleeck",45.0009240436149,"buy","v","buy","male",787680
"65",2485,"VanKleeck",45.0009240436149,"buy","v","buy","male",787701
"66",2485,"VanKleeck",45.0009240436149,"buy","v","buy","male",787709
"67",2486,"VanKleeck",46.0009445779174,"bite","v","bite","male",790254
"68",2486,"VanKleeck",46.0009445779174,"dropped","v","drop","male",789182
"69",2491,"VanKleeck",45.0009240436149,"push","v","push","male",791561
"70",2491,"VanKleeck",45.0009240436149,"taught","v","teach","male",790992
"71",2497,"VanKleeck",44.0009035093123,"buy","v","buy","female",793475
"72",2497,"VanKleeck",44.0009035093123,"hold","v","hold","female",794197
"73",2498,"VanKleeck",46.0009445779174,"bite","v","bite","male",791737
"74",2498,"VanKleeck",46.0009445779174,"bite","v","bite","male",791766
"75",2498,"VanKleeck",46.0009445779174,"bite","v","bite","male",791860
